route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
11,2,"11","PIĄTKOWSKA - UNII LUBELSKIEJ|UNII LUBELSKIEJ - PIĄTKOWSKA","PIĄTKOWSKA - Bronowa - Witosa - os. Winiary - Winiarska - Wołyńska - Małopolska - al. Wielkopolska - Pułaskiego - Roosevelta - Głogowska - Hetmańska - Unii Lubelskiej - UNII LUBELSKIEJ^F - zjazd do zajezdni Franowo przez przystanek: Rondo Żegrze, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Starołęka|UNII LUBELSKIEJ - Hetmańska - Głogowska - Roosevelta - Pułaskiego - al. Wielkopolska - Małopolska - Wołyńska - Winiarska - os. Winiary - Witosa - Bronowa - PIĄTKOWSKA^F - zjazd do zajezdni Franowo przez przystanek: Os. Czecha^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Starołęka",0,3CDBC0,000000
12,2,"12","STAROŁĘKA PKM - POŁABSKA|POŁABSKA - STAROŁĘKA PKM","STAROŁĘKA PKM - Starołęcka - Zamenhofa - Krzywoustego - Królowej Jadwigi - Matyi - Roosevelta - Pułaskiego - Winogrady - Murawa - Aleje Solidarności - POŁABSKA^F - zjazd do zajezdni Franowo przez przystanek: Rondo Starołęka, Os. Czecha^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|POŁABSKA - Murawa - Winogrady - Pułaskiego - Roosevelta - Matyi - Królowej Jadwigi - Krzywoustego - Zamenhofa - Starołęcka - STAROŁĘKA PKM^F - zjazd do zajezdni Franowo przez przystanek: Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Most Dworcowy, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,CBA3D8,000000
13,2,"13","ALEJE MARCINKOWSKIEGO - STAROŁĘKA PKM|STAROŁĘKA PKM - ALEJE MARCINKOWSKIEGO","ALEJE MARCINKOWSKIEGO - Aleje Marcinkowskiego - Podgórna - pl. Bernardyński - Mostowa - Kórnicka - Jana Pawła II - Zamenhofa - Starołęcka - STAROŁĘKA PKM^F - zjazd do zajezdni Franowo przez przystanek: Rondo Starołęka, Os. Czecha^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|STAROŁĘKA PKM - Zamenhofa - Jana Pawła II - Kórnicka - Mostowa - pl. Bernardyński - Podgórna - Aleje Marcinkowskiego - ALEJE MARCINKOWSKIEGO^F - zjazd do zajezdni Franowo przez przystanek: Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Starołęka, Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,AD841F,FFFFFF
14,2,"14","PIĄTKOWSKA - GÓRCZYN PKM|GÓRCZYN PKM - PIĄTKOWSKA","PIĄTKOWSKA - Bronowa - Witosa - os. Winiary - Winiarska - Wołyńska - Małopolska - al. Wielkopolska - Pułaskiego - Roosevelta - Głogowska - GÓRCZYN PKM^F - zjazd do zajezdni Franowo przez przystanek: Głogowska/Hetmańska, Traugutta, Ron do Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Most Teatralny, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Głogowska/Hetmańs ka, Traugutta, Rondo Starołęka|GÓRCZYN PKM - Roosevelta - Pułaskiego - al. Wielkopolska - Małopolska - Wołyńska - Winiarska - os. Winiary - Witosa - Bronowa - PIĄTKOWSKA^F - zjazd do zajezdni Franowo przez przystanek: Głogowska/Hetmańska, Traugutta, Ron do Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Głogowska/Hetmańs ka, Traugutta, Rondo Starołęka",0,946037,FFFFFF
15,2,"15","JUNIKOWO - POŁABSKA|POŁABSKA - JUNIKOWO","JUNIKOWO - Grunwaldzka - Bukowska - Roosevelta - Pułaskiego - Winogrady - Murawa - Aleje Solidarności - POŁABSKA^F - zjazd do zajezdni Franowo przez przystanek: Bałtyk, Poznań Główny, Rondo Rataje , Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Bałtyk, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|POŁABSKA - Murawa - Winogrady - Pułaskiego - Roosevelta - Bukowska - Grunwaldzka - JUNIKOWO^F - zjazd do zajezdni Franowo przez przystanek: Rondo Kaponiera, Poznań Główny, Ron do Rataje, Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Bałtyk, Rondo Nowaka-Jeziorańskie go^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,A2AAAD,000000
18,2,"18","FRANOWO - OGRODY|OGRODY - FRANOWO","FRANOWO - Szwajcarska - Piaśnicka - Chartowo - Żegrze - Hetmańska - Zamenhofa - Krzywoustego - Królowej Jadwigi - Matyi - Roosevelta - Dąbrowskiego - OGRODY^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OGRODY - Roosevelta - Matyi - Królowej Jadwigi - Krzywoustego - Zamenhofa - Hetmańska - Żegrze - Chartowo - Piaśnicka - Szwajcarska - FRANOWO^G - zjazd do zajezdni Głogowska przez przystanek: Most Teatralny, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Rataje, Ron do Starołęka",0,FEDB00,000000
51,2,"51","WIELKOPOLSKA - PIĄTKOWSKA|PIĄTKOWSKA - WIELKOPOLSKA","WIELKOPOLSKA - Pułaskiego - al. Wielkopolska - Małopolska - Wołyńska - Winiarska - os. Winiary - Witosa - Bronowa - PIĄTKOWSKA^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|PIĄTKOWSKA - Witosa - os. Winiary - Winiarska - Wołyńska - Małopolska - al. Wielkopolska - Pułaskiego - WIELKOPOLSKA^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,FFFFFF,000000
58,2,"58","KRAUTHOFERA - GÓRCZYN PKM|GÓRCZYN PKM - KRAUTHOFERA","KRAUTHOFERA - Głogowska - GÓRCZYN PKM^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|GÓRCZYN PKM - KRAUTHOFERA^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,FFFFFF,000000
59,2,"59","TRAUGUTTA - DĘBIEC PKM|DĘBIEC PKM - TRAUGUTTA","TRAUGUTTA - 28 Czerwca 1956 r. - DĘBIEC PKM^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|DĘBIEC PKM - TRAUGUTTA^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,FFFFFF,000000
98,2,"98","PL. WIELKOPOLSKI - ZAWADY|ZAWADY - PL. WIELKOPOLSKI","PL. WIELKOPOLSKI - pl. Wielkopolski - Małe Garbary - Wyszyńskiego - Podwale - ZAWADY^F - zjazd do zajezdni Franowo przez przystanek: Rondo Śródka, Rondo Rataje, Rondo S tarołęka, Os. Czecha^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|ZAWADY - Wyszyńskiego - Małe Garbary - pl. Wielkopolski - PL. WIELKOPOLSKI^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,FFFFFF,000000
